YEAR,ANNUAL - MIN,ANNUAL - MAX,JAN-FEB - MIN,JAN-FEB - MAX,MAR-MAY - MIN,MAR-MAY - MAX,JUN-SEP - MIN,JUN-SEP - MAX,OCT-DEC - MIN,OCT-DEC - MAX
1901,19.51,28.96,14.16,23.27,20.67,31.46,23.38,31.27,16.59,27.25
1902,19.44,29.22,13.64,25.75,21.12,31.76,23.28,31.09,16.50,26.49
1903,19.25,28.47,13.87,24.24,20.25,30.71,23.40,30.92,16.29,26.26
1904,19.22,28.49,13.72,23.62,20.72,30.95,22.96,30.66,16.44,26.40
1905,19.03,28.30,12.81,22.25,19.97,30.00,23.43,31.33,16.39,26.57
1906,19.51,28.73,13.72,23.03,20.76,31.11,23.45,30.86,16.88,27.29
1907,19.08,28.65,14.46,24.23,19.87,29.92,22.98,30.80,16.14,27.36
1908,19.09,28.83,13.68,24.42,20.61,31.43,23.19,30.72,15.70,26.64
1909,19.13,28.38,13.33,23.52,20.40,31.02,22.97,30.33,16.61,26.88
1910,19.01,28.53,13.68,24.20,20.35,31.14,23.15,30.48,15.72,26.20
1911,19.31,28.62,13.81,23.90,20.41,30.70,23.26,31.14,16.66,26.31
1912,19.27,28.95,14.56,24.88,20.54,31.10,23.12,31.15,16.02,26.57
1913,19.09,28.67,13.91,24.25,20.24,30.89,22.96,30.92,16.24,26.42
1914,19.41,28.66,14.03,24.59,20.33,30.73,23.47,30.84,16.66,26.40
1915,19.64,28.94,13.73,23.22,21.00,31.06,23.72,31.51,16.79,27.19
1916,19.34,28.82,13.64,24.57,20.95,31.88,23.31,30.52,16.23,26.31
1917,19.02,28.11,13.60,24.52,19.72,30.06,23.29,30.24,16.25,25.74
1918,19.02,28.66,13.24,23.57,20.15,30.68,23.06,31.10,16.33,26.78
1919,19.37,28.66,14.22,23.71,20.53,31.17,23.33,30.80,16.36,26.60
1920,19.07,28.76,13.79,23.64,20.15,30.40,23.01,31.08,16.26,27.45
1921,19.54,28.86,13.85,23.91,21.16,32.05,23.18,30.81,16.34,26.43
1922,19.32,28.80,14.31,24.43,20.56,31.21,23.27,30.90,16.03,26.38
1923,19.36,28.74,13.88,23.73,20.83,31.40,23.24,30.98,16.37,26.43
1924,19.52,28.80,14.11,23.94,20.86,31.44,23.42,30.96,16.56,26.49
1925,19.24,28.67,13.05,23.57,20.90,31.47,23.18,30.67,16.43,26.59
1926,19.37,28.70,14.63,24.73,20.36,30.21,23.69,31.14,15.92,26.61
1927,19.30,28.59,13.81,23.76,20.30,30.72,23.18,30.80,16.80,26.73
1928,19.61,28.98,14.57,24.21,20.86,31.51,23.23,31.14,16.90,26.74
1929,19.40,28.76,13.71,23.53,21.00,31.72,23.17,31.03,16.55,26.28
1930,19.21,28.65,13.27,23.20,20.70,30.94,23.10,30.98,16.51,26.90
1931,19.73,29.15,14.52,24.55,21.01,31.71,23.44,31.16,16.97,26.97
1932,19.32,29.09,13.72,24.51,20.65,31.17,23.36,31.25,16.33,27.18
1933,19.35,28.49,14.08,24.13,20.25,30.43,23.34,30.41,16.63,26.92
1934,19.22,29.03,13.78,24.53,20.50,31.28,23.37,31.22,16.16,26.94
1935,19.21,28.76,13.84,23.41,20.39,31.15,23.07,30.85,16.41,26.88
1936,19.53,28.71,13.96,24.11,20.87,31.17,23.18,30.68,17.03,26.69
1937,19.25,28.70,14.11,24.13,20.39,30.84,23.40,31.22,16.02,26.26
1938,19.28,28.70,13.61,23.31,21.25,31.74,23.14,30.59,15.95,26.71
1939,19.16,28.85,13.95,24.25,20.08,30.76,23.23,31.06,16.29,27.05
1940,19.24,28.88,13.57,24.46,20.31,30.66,23.25,30.93,16.62,27.24
1941,19.85,29.46,14.25,24.37,21.53,32.12,23.52,31.37,17.00,27.62
1942,19.45,28.98,14.10,24.03,21.19,31.80,23.37,30.99,16.20,27.23
1943,19.06,28.80,13.75,24.03,20.33,30.80,23.10,30.83,16.02,27.33
1944,19.18,28.89,13.45,23.62,20.39,31.03,23.29,31.25,16.38,27.16
1945,18.89,28.97,12.93,23.86,20.26,31.19,23.36,31.48,15.52,26.82
1946,19.38,29.37,13.55,25.49,20.73,31.50,23.25,31.23,16.76,27.30
1947,19.23,28.84,13.57,23.99,21.05,31.78,23.46,31.20,16.08,26.70
1948,19.49,28.73,14.03,23.62,20.81,31.27,23.32,30.84,16.70,26.77
1949,19.28,28.89,13.87,24.49,21.01,31.27,23.29,30.88,15.80,26.79
1950,18.95,28.47,13.39,24.02,20.28,30.72,23.25,30.48,15.72,26.58
1951,19.36,29.09,13.20,24.16,20.27,30.67,23.24,31.13,17.16,27.77
1952,19.51,29.16,14.53,25.17,20.91,31.13,23.39,31.11,16.27,27.26
1953,19.71,29.43,14.22,24.71,21.55,32.19,23.52,31.12,16.46,27.56
1954,19.33,28.92,14.02,24.20,21.11,31.89,23.28,30.90,15.84,26.46
1955,19.19,28.76,14.02,24.90,20.29,30.88,23.23,30.72,16.13,26.59
1956,19.29,28.63,13.25,24.40,21.09,31.53,23.07,30.25,16.46,26.37
1957,19.30,28.64,13.60,23.87,20.09,30.42,23.23,31.07,17.06,26.82
1958,19.92,29.34,14.58,25.43,21.18,31.74,23.64,31.23,17.26,27.01
1959,19.60,29.02,13.82,24.05,20.93,31.71,23.48,30.99,16.96,27.03
1960,19.27,29.31,13.99,25.49,20.25,31.17,23.40,31.29,16.32,27.36
1961,19.27,28.72,13.79,24.18,20.76,31.47,23.38,30.75,15.96,26.30
1962,19.20,28.89,13.52,24.24,20.53,31.31,23.21,31.08,16.32,26.65
1963,19.28,29.04,13.39,24.73,20.24,30.94,23.14,31.28,17.08,27.00
1964,19.11,29.09,13.38,24.29,20.87,31.89,23.01,30.82,15.96,27.20
1965,18.98,29.16,13.76,24.67,19.76,30.73,22.80,31.37,16.57,27.61
1966,19.31,29.41,14.32,25.54,20.46,31.69,23.12,31.24,16.40,27.26
1967,19.08,29.14,13.57,25.31,20.07,31.04,23.07,31.32,16.43,26.90
1968,18.83,29.07,12.82,23.68,20.02,31.24,22.94,31.55,16.18,27.19
1969,19.32,29.61,13.40,24.99,20.76,32.02,23.17,31.55,16.69,27.71
1970,19.16,29.47,13.92,25.19,20.77,32.03,23.11,31.16,15.76,27.50
1971,18.77,29.15,13.18,24.99,20.16,31.58,22.72,30.91,15.84,27.17
1972,18.91,29.31,12.70,24.49,20.10,31.49,22.91,31.67,16.53,27.21
1973,19.38,29.44,14.12,25.35,20.88,32.19,23.34,31.28,16.09,26.97
1974,18.76,29.26,12.77,24.34,20.57,31.92,22.67,31.39,15.73,27.03
1975,18.62,28.89,13.26,24.12,20.03,31.62,22.51,30.66,15.58,26.99
1976,18.90,29.27,13.18,24.61,19.83,31.45,22.66,31.09,16.76,27.76
1977,19.31,29.41,13.51,25.15,20.42,31.65,23.09,31.22,17.01,27.59
1978,19.25,29.23,13.50,24.36,20.41,31.57,23.09,31.11,16.79,27.64
1979,19.55,29.63,13.94,24.99,20.30,31.70,23.27,31.87,17.56,27.67
1980,19.53,29.58,14.07,25.21,20.97,32.20,23.22,31.36,16.82,27.51
1981,19.25,29.32,13.94,24.90,20.67,31.64,23.14,31.34,16.17,27.24
1982,19.21,29.12,13.77,24.51,20.06,30.79,23.10,31.55,16.81,27.26
1983,19.14,29.11,13.57,24.62,20.10,30.84,23.41,31.48,16.20,27.23
1984,19.25,29.28,13.62,24.11,20.90,32.12,23.12,31.09,16.18,27.46
1985,19.30,29.61,13.93,25.29,20.94,32.51,22.98,31.28,16.33,27.35
1986,19.09,29.33,13.61,24.64,20.31,31.58,22.92,31.44,16.43,27.40
1987,19.42,29.72,13.81,25.07,20.32,31.37,23.53,32.24,16.80,27.82
1988,19.33,29.55,14.07,25.39,20.72,31.75,23.17,31.34,16.33,27.76
1989,18.96,29.18,13.02,24.51,20.18,31.35,22.93,31.11,16.41,27.57
1990,19.29,29.14,13.91,25.00,20.23,30.84,23.19,31.18,16.74,27.50
1991,19.29,29.32,13.73,24.74,20.63,31.46,23.29,31.45,16.34,27.40
1992,19.15,29.23,13.57,24.60,20.07,31.32,23.15,31.28,16.62,27.49
1993,19.34,29.55,13.91,25.31,20.41,31.61,23.25,31.47,16.69,27.74
1994,19.48,29.46,14.45,25.09,20.76,31.85,23.32,31.30,16.43,27.52
1995,20.39,30.18,14.99,25.68,21.47,32.40,24.16,32.01,17.84,28.52
1996,19.55,29.58,15.28,26.30,20.93,32.07,23.29,31.19,16.24,27.29
1997,19.21,29.05,13.13,24.63,20.14,31.26,23.45,31.77,17.21,26.65
1998,19.84,29.70,14.49,24.96,20.97,31.89,23.67,31.75,17.03,27.83
1999,19.53,29.81,14.43,25.16,20.85,32.45,23.24,31.55,16.65,27.95
2000,19.48,29.75,13.84,24.82,20.77,32.22,23.25,31.25,16.88,28.53
2001,19.49,29.99,13.60,25.88,21.04,32.61,23.36,31.62,16.95,28.13
2002,19.78,30.23,13.93,25.37,21.38,33.06,23.41,32.02,16.79,28.36
2003,19.70,29.75,14.32,25.32,21.00,32.05,23.56,31.72,16.76,27.70
2004,19.69,29.79,14.39,25.47,21.30,32.69,23.27,31.42,16.84,27.65
2005,19.58,29.60,14.63,24.96,20.85,31.81,23.46,31.84,16.43,27.50
2006,20.07,30.06,15.47,27.44,20.96,32.08,23.44,31.39,17.56,27.78
2007,19.69,29.84,14.47,25.73,21.06,32.32,23.59,31.40,16.62,28.03
2008,19.60,29.64,13.60,24.72,20.82,32.11,23.30,31.25,17.43,28.29
2009,19.94,30.30,14.95,26.51,21.15,32.57,23.59,32.24,17.20,27.96
2010,20.15,30.13,14.51,25.96,22.09,33.47,23.57,31.43,17.42,27.78
2011,19.58,29.82,13.84,25.33,20.68,32.07,23.56,31.55,17.16,28.23
2012,19.54,29.81,13.68,25.03,20.78,32.33,23.68,31.77,16.80,27.88
2013,19.83,29.81,14.38,25.58,21.14,32.58,23.61,31.33,16.82,27.83
2014,19.77,29.72,14.26,24.90,20.66,31.82,23.80,32.00,17.20,27.81
2015,19.96,29.90,14.53,25.74,20.91,31.68,23.62,31.87,17.75,28.27
2016,21.28,31.63,16.17,28.33,23.15,34.57,24.61,32.28,18.37,30.03
2017,21.17,31.42,15.72,27.95,22.68,34.13,24.58,32.41,18.73,29.69
